signal_id,tier,timeframe,symbol,signal_time,entry_time,close_time,raw_entry_px,raw_exit_px,raw_gross_pct,exit_reason,bars_held,status,first_seen_run_id,last_seen_run_id
4c32eb0dd35f37780c88a09406d545d6,fast,1h,XRP,2019-10-09T13:00:00+00:00,2019-10-09T14:00:00+00:00,2019-10-10T10:00:00+00:00,0.28436,0.2678794624147423,-5.795659581255341,stop,21,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
1dc416162442656350e280086f2547cd,fast,1h,BTC,2019-10-09T14:00:00+00:00,2019-10-09T15:00:00+00:00,2019-10-09T15:00:00+00:00,8438.55,8549.5,1.3147993434891259,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
ca42f62eaa6b9146bded90c305702c81,fast,1h,ETH,2019-10-09T14:00:00+00:00,2019-10-09T15:00:00+00:00,2019-10-10T10:00:00+00:00,191.2,188.79,-1.260460251046025,trend_break,20,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
e8266265a6abca4fc565be7b36886e6b,fast,1h,XRP,2019-10-12T05:00:00+00:00,2019-10-12T06:00:00+00:00,2019-10-23T12:00:00+00:00,0.27417,0.27487,0.2553160447897218,trend_break,271,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
f0ef2ee85f167f5d957f3333088a58de,fast,1h,ETH,2019-10-14T16:00:00+00:00,2019-10-14T17:00:00+00:00,2019-10-14T17:00:00+00:00,185.42,186.06,0.3451623341602872,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
b7f4577bcf174885de3b8cfcd81f5657,fast,1h,BTC,2019-10-20T17:00:00+00:00,2019-10-20T18:00:00+00:00,2019-10-20T18:00:00+00:00,8143,8134.19,-0.10819108436694869,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
5f24aa232bff3da6edaabe8d0c7d5082,fast,1h,ADA,2019-10-25T15:00:00+00:00,2019-10-25T16:00:00+00:00,2019-11-19T07:00:00+00:00,0.04023,0.04174,3.7534178473775714,trend_break,592,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
033aeef6c2a48c9d2b89a1b2ce101f1c,fast,1h,BNB,2019-10-25T15:00:00+00:00,2019-10-25T16:00:00+00:00,2019-11-18T11:00:00+00:00,18.4339,19.6263,6.468517242688732,trend_break,572,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
2c55548b02602abdf0d25d8cfee0dc89,fast,1h,BTC,2019-10-25T15:00:00+00:00,2019-10-25T16:00:00+00:00,2019-11-08T13:00:00+00:00,8268.45,8807.97,6.525043992525781,trend_break,334,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
45855ab8b35f43809d4f566b0f57aa6d,fast,1h,ETH,2019-10-25T15:00:00+00:00,2019-10-25T16:00:00+00:00,2019-10-25T16:00:00+00:00,175.98,179.05,1.744516422320741,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
1779f62038ee403276e5c85db760b6f8,fast,1h,XRP,2019-10-25T15:00:00+00:00,2019-10-25T16:00:00+00:00,2019-11-08T04:00:00+00:00,0.29098,0.2855,-1.883290947831484,trend_break,325,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
e15a77d45812b10f50f7e9b6f36a4b4d,fast,1h,ADA,2019-11-04T10:00:00+00:00,2019-11-04T11:00:00+00:00,2019-11-19T07:00:00+00:00,0.04231,0.04174,-1.3471992436776214,trend_break,357,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
840f1fd76b32fff7972917506ae860ce,fast,1h,XRP,2019-12-05T20:00:00+00:00,2019-12-05T21:00:00+00:00,2019-12-05T21:00:00+00:00,0.22364,0.22198,-0.7422643534251483,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
22677d78582c1aabaea207fa83d322ed,fast,1h,BTC,2019-12-06T17:00:00+00:00,2019-12-06T18:00:00+00:00,2019-12-06T18:00:00+00:00,7478.25,7437.85,-0.5402333433624174,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
72dbcfffabf305e6c34e4f014cd0f981,fast,1h,BNB,2019-12-07T00:00:00+00:00,2019-12-07T01:00:00+00:00,2019-12-07T01:00:00+00:00,15.7635,15.6822,-0.5157484061280804,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
cf0b575e50aa5d2be9d738873106cc7e,fast,1h,ETH,2019-12-08T15:00:00+00:00,2019-12-08T16:00:00+00:00,2019-12-08T16:00:00+00:00,150.67,150.23,-0.2920289374128915,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
af0d7441c206036b175ff9595a7a278c,fast,1h,BTC,2019-12-22T18:00:00+00:00,2019-12-22T19:00:00+00:00,2019-12-22T19:00:00+00:00,7393.26,7408.1,0.20072336154821624,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
7903a4724fc965f17e7020c8ed81a17d,fast,1h,BNB,2019-12-29T12:00:00+00:00,2019-12-29T13:00:00+00:00,2019-12-29T13:00:00+00:00,13.9134,14.0886,1.2592177325456033,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
7b842ea32c415565fe0ad81a77156cfb,fast,1h,ETH,2020-01-03T09:00:00+00:00,2020-01-03T10:00:00+00:00,2020-01-03T10:00:00+00:00,132.47,131.9,-0.4302861025137661,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
7de90543ec4b5be41c183a29d385de62,fast,1h,BNB,2020-01-04T09:00:00+00:00,2020-01-04T10:00:00+00:00,2020-01-04T10:00:00+00:00,13.8302,13.8018,-0.2053477173142748,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
76c6fca5920d5a270e61776c55e54ab9,fast,1h,ADA,2020-01-05T01:00:00+00:00,2020-01-05T02:00:00+00:00,2020-01-05T02:00:00+00:00,0.03481,0.03463,-0.5170927894283195,trend_break,1,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
24b173144bfeda61bb55e47f8048e9f7,fast,1h,BTC,2020-01-05T01:00:00+00:00,2020-01-05T02:00:00+00:00,2020-02-25T14:00:00+00:00,7478.21,9408.55,25.81286163400065,trend_break,1237,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
36759377596ee3ffa5297ee335a23fbb,fast,1h,BTC,2020-01-06T02:00:00+00:00,2020-01-06T03:00:00+00:00,2020-02-25T14:00:00+00:00,7568.18,9408.55,24.31720704317284,trend_break,1212,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
7f52279153d596e5adceb5994efaf9cd,fast,1h,BNB,2020-01-10T15:00:00+00:00,2020-01-10T16:00:00+00:00,2020-02-25T05:00:00+00:00,14.9097,21.1289,41.71244223559161,trend_break,1094,closed,5af02e8f4525420d83a664a333615db2,d85ad7e2888f47b79e6eead8595df555
