run_id,account_id,tier,timeframe,market,venue,leverage,starting_equity,ending_equity,fee_bps_per_side,adverse_fill_bps_per_side,funding_included,equity_time,equity
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-23T06:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-23T12:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-23T18:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-24T00:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-24T06:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-24T12:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-24T18:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-25T00:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-25T06:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-25T12:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-25T18:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-26T00:00:00+00:00,10000
d85ad7e2888f47b79e6eead8595df555,29320e750c3ee71b4fa8c31fcd49eec3,sixh,6h,futures,aster,1,10000,145842.2427386872,4,20,0,2019-09-26T06:00:00+00:00,10000
